Date,RHA,Daily_Cases,Cumulative_Cases,Active_Cases,Recoveries,Deaths
2020/03/30 05:00:00+00,Northern,0,1,1,0,0
2020/03/30 05:00:00+00,Prairie Mountain Health,0,9,8,1,0
2020/03/30 05:00:00+00,Southern Health-Santé Sud,0,6,2,4,0
2020/03/30 05:00:00+00,Winnipeg,9,85,76,8,1
2020/03/30 05:00:00+00,All,9,105,91,13,1
2020/03/31 05:00:00+00,Interlake-Eastern,1,5,5,0,0
2020/03/31 05:00:00+00,Northern,0,1,1,0,0
2020/03/31 05:00:00+00,Prairie Mountain Health,1,10,9,1,0
2020/03/31 05:00:00+00,Southern Health-Santé Sud,2,8,4,4,0
2020/03/31 05:00:00+00,Winnipeg,23,108,95,12,1
2020/03/31 05:00:00+00,All,27,132,114,17,1
2020/04/01 05:00:00+00,Interlake-Eastern,3,8,8,0,0
2020/04/01 05:00:00+00,Northern,1,2,1,1,0
2020/04/01 05:00:00+00,Prairie Mountain Health,0,10,8,2,0
2020/04/01 05:00:00+00,Southern Health-Santé Sud,7,15,11,4,0
2020/04/01 05:00:00+00,Winnipeg,22,130,115,14,1
2020/04/01 05:00:00+00,All,33,165,143,21,1
2020/04/02 05:00:00+00,Interlake-Eastern,1,9,9,0,0
2020/04/02 05:00:00+00,Northern,0,2,1,1,0
2020/04/02 05:00:00+00,Prairie Mountain Health,1,11,9,2,0
2020/04/02 05:00:00+00,Southern Health-Santé Sud,4,19,15,4,0
2020/04/02 05:00:00+00,Winnipeg,10,140,120,18,2
2020/04/02 05:00:00+00,All,16,181,154,25,2
2020/04/03 05:00:00+00,Interlake-Eastern,2,11,10,1,0
2020/04/03 05:00:00+00,Northern,0,2,1,1,0
2020/04/03 05:00:00+00,Prairie Mountain Health,0,11,7,4,0
2020/04/03 05:00:00+00,Southern Health-Santé Sud,1,20,15,5,0
2020/04/03 05:00:00+00,Winnipeg,7,147,119,26,2
2020/04/03 05:00:00+00,All,10,191,152,37,2
2020/04/04 05:00:00+00,Interlake-Eastern,0,11,10,1,0
2020/04/04 05:00:00+00,Northern,0,2,1,1,0
2020/04/04 05:00:00+00,Prairie Mountain Health,0,11,7,4,0
2020/04/04 05:00:00+00,Southern Health-Santé Sud,4,24,18,6,0
2020/04/04 05:00:00+00,Winnipeg,7,154,126,26,2
2020/04/04 05:00:00+00,All,11,202,162,38,2
2020/04/05 05:00:00+00,Interlake-Eastern,0,11,10,1,0
2020/04/05 05:00:00+00,Northern,0,2,1,1,0
2020/04/05 05:00:00+00,Prairie Mountain Health,0,11,6,5,0
2020/04/05 05:00:00+00,Southern Health-Santé Sud,0,24,18,6,0
2020/04/05 05:00:00+00,Winnipeg,1,155,124,29,2
2020/04/05 05:00:00+00,All,1,203,159,42,2
2020/04/06 05:00:00+00,Interlake-Eastern,0,11,10,1,0
2020/04/06 05:00:00+00,Northern,1,3,2,1,0
2020/04/06 05:00:00+00,Prairie Mountain Health,0,11,4,7,0
2020/04/06 05:00:00+00,Southern Health-Santé Sud,0,24,18,6,0
2020/04/06 05:00:00+00,Winnipeg,12,167,106,58,3
2020/04/06 05:00:00+00,All,13,216,140,73,3
2020/04/07 05:00:00+00,Interlake-Eastern,2,13,12,1,0
2020/04/07 05:00:00+00,Northern,0,3,0,3,0
2020/04/07 05:00:00+00,Prairie Mountain Health,0,11,4,7,0
2020/04/07 05:00:00+00,Southern Health-Santé Sud,0,24,14,10,0
2020/04/07 05:00:00+00,Winnipeg,1,168,88,77,3
2020/04/07 05:00:00+00,All,3,219,118,98,3
2020/04/08 05:00:00+00,Interlake-Eastern,1,14,11,3,0
2020/04/08 05:00:00+00,Northern,0,3,0,3,0
2020/04/08 05:00:00+00,Prairie Mountain Health,0,11,4,7,0
2020/04/08 05:00:00+00,Southern Health-Santé Sud,0,24,14,10,0
2020/04/08 05:00:00+00,Winnipeg,1,169,73,93,3
2020/04/08 05:00:00+00,All,2,221,102,116,3
2020/04/09 05:00:00+00,Interlake-Eastern,2,16,12,4,0
2020/04/09 05:00:00+00,Northern,0,3,0,3,0
2020/04/09 05:00:00+00,Prairie Mountain Health,0,11,3,8,0
2020/04/09 05:00:00+00,Southern Health-Santé Sud,0,24,6,18,0
2020/04/09 05:00:00+00,Winnipeg,4,173,72,97,4
2020/04/09 05:00:00+00,All,6,227,93,130,4
2020/04/10 05:00:00+00,Interlake-Eastern,1,17,13,4,0
2020/04/10 05:00:00+00,Northern,0,3,0,3,0
2020/04/10 05:00:00+00,Prairie Mountain Health,0,11,2,9,0
2020/04/10 05:00:00+00,Southern Health-Santé Sud,3,27,4,23,0
2020/04/10 05:00:00+00,Winnipeg,8,181,75,102,4
2020/04/10 05:00:00+00,All,12,239,94,141,4
2020/04/11 05:00:00+00,Interlake-Eastern,0,17,13,4,0
2020/04/11 05:00:00+00,Northern,0,3,0,3,0
2020/04/11 05:00:00+00,Prairie Mountain Health,0,11,2,9,0
2020/04/11 05:00:00+00,Southern Health-Santé Sud,0,27,3,24,0
2020/04/11 05:00:00+00,Winnipeg,0,181,73,104,4
2020/04/11 05:00:00+00,All,0,239,91,144,4
2020/04/12 05:00:00+00,Interlake-Eastern,0,17,12,5,0
2020/04/12 05:00:00+00,Northern,0,3,0,3,0
2020/04/12 05:00:00+00,Prairie Mountain Health,0,11,2,9,0
2020/04/12 05:00:00+00,Southern Health-Santé Sud,1,28,4,24,0
2020/04/12 05:00:00+00,Winnipeg,1,182,70,108,4
2020/04/12 05:00:00+00,All,2,241,88,149,4
2020/04/13 05:00:00+00,Interlake-Eastern,0,17,11,6,0
2020/04/13 05:00:00+00,Northern,0,3,0,3,0
2020/04/13 05:00:00+00,Prairie Mountain Health,0,11,2,9,0
2020/04/13 05:00:00+00,Southern Health-Santé Sud,0,28,3,25,0
2020/04/13 05:00:00+00,Winnipeg,0,182,65,113,4
2020/04/13 05:00:00+00,All,0,241,81,156,4
2020/04/14 05:00:00+00,Interlake-Eastern,1,18,8,10,0
2020/04/14 05:00:00+00,Northern,0,3,0,3,0
2020/04/14 05:00:00+00,Prairie Mountain Health,1,12,2,9,1
2020/04/14 05:00:00+00,Southern Health-Santé Sud,0,28,2,26,0
2020/04/14 05:00:00+00,Winnipeg,1,183,55,124,4
2020/04/14 05:00:00+00,All,3,244,67,172,5
2020/04/15 05:00:00+00,Interlake-Eastern,1,19,7,12,0
2020/04/15 05:00:00+00,Northern,0,3,0,3,0
2020/04/15 05:00:00+00,Prairie Mountain Health,0,12,2,9,1
2020/04/15 05:00:00+00,Southern Health-Santé Sud,0,28,2,26,0
2020/04/15 05:00:00+00,Winnipeg,3,186,48,134,4
2020/04/15 05:00:00+00,All,4,248,59,184,5
2020/04/16 05:00:00+00,Interlake-Eastern,0,19,6,13,0
2020/04/16 05:00:00+00,Northern,0,3,0,3,0
2020/04/16 05:00:00+00,Prairie Mountain Health,0,12,0,11,1
2020/04/16 05:00:00+00,Southern Health-Santé Sud,0,28,2,26,0
2020/04/16 05:00:00+00,Winnipeg,1,187,40,143,4
2020/04/16 05:00:00+00,All,1,249,48,196,5
2020/04/17 05:00:00+00,Interlake-Eastern,0,19,4,15,0
2020/04/17 05:00:00+00,Northern,0,3,0,3,0
2020/04/17 05:00:00+00,Prairie Mountain Health,1,13,1,11,1
2020/04/17 05:00:00+00,Southern Health-Santé Sud,0,28,2,26,0
2020/04/17 05:00:00+00,Winnipeg,4,191,35,152,4
2020/04/17 05:00:00+00,All,5,254,42,207,5
2020/04/18 05:00:00+00,Interlake-Eastern,0,19,3,16,0
2020/04/18 05:00:00+00,Northern,0,3,0,3,0
2020/04/18 05:00:00+00,Prairie Mountain Health,0,13,1,11,1
2020/04/18 05:00:00+00,Southern Health-Santé Sud,0,28,2,26,0
2020/04/18 05:00:00+00,Winnipeg,2,193,37,152,4
2020/04/18 05:00:00+00,All,2,256,43,208,5
2020/04/19 05:00:00+00,Interlake-Eastern,0,19,3,16,0
2020/04/19 05:00:00+00,Northern,0,3,0,3,0
2020/04/19 05:00:00+00,Prairie Mountain Health,0,13,1,11,1
2020/04/19 05:00:00+00,Southern Health-Santé Sud,0,28,2,26,0
2020/04/19 05:00:00+00,Winnipeg,1,194,38,152,4
2020/04/19 05:00:00+00,All,1,257,44,208,5
2020/04/20 05:00:00+00,Interlake-Eastern,0,19,3,16,0
2020/04/20 05:00:00+00,Northern,0,3,0,3,0
2020/04/20 05:00:00+00,Prairie Mountain Health,0,13,1,11,1
2020/04/20 05:00:00+00,Southern Health-Santé Sud,0,28,2,26,0
2020/04/20 05:00:00+00,Winnipeg,1,195,32,158,5
2020/04/20 05:00:00+00,All,1,258,38,214,6
2020/04/21 05:00:00+00,Interlake-Eastern,0,19,2,17,0
2020/04/21 05:00:00+00,Northern,0,3,0,3,0
2020/04/21 05:00:00+00,Prairie Mountain Health,0,13,1,11,1
2020/04/21 05:00:00+00,Southern Health-Santé Sud,0,28,2,26,0
2020/04/21 05:00:00+00,Winnipeg,0,195,24,166,5
2020/04/21 05:00:00+00,All,0,258,29,223,6
2020/04/22 05:00:00+00,Interlake-Eastern,0,19,2,17,0
2020/04/22 05:00:00+00,Northern,0,3,0,3,0
2020/04/22 05:00:00+00,Prairie Mountain Health,0,13,1,11,1
2020/04/22 05:00:00+00,Southern Health-Santé Sud,0,28,2,26,0
2020/04/22 05:00:00+00,Winnipeg,3,198,20,173,5
2020/04/22 05:00:00+00,All,3,261,25,230,6
2020/04/23 05:00:00+00,Interlake-Eastern,0,19,2,17,0
2020/04/23 05:00:00+00,Northern,0,3,0,3,0
2020/04/23 05:00:00+00,Prairie Mountain Health,0,13,1,11,1
2020/04/23 05:00:00+00,Southern Health-Santé Sud,1,29,3,26,0
2020/04/23 05:00:00+00,Winnipeg,1,199,20,174,5
2020/04/23 05:00:00+00,All,2,263,26,231,6
2020/04/24 05:00:00+00,Interlake-Eastern,0,19,1,18,0
2020/04/24 05:00:00+00,Northern,0,3,0,3,0
2020/04/24 05:00:00+00,Prairie Mountain Health,1,14,1,12,1
2020/04/24 05:00:00+00,Southern Health-Santé Sud,0,29,2,27,0
2020/04/24 05:00:00+00,Winnipeg,2,201,19,177,5
2020/04/24 05:00:00+00,All,3,266,23,237,6
2020/04/25 05:00:00+00,Interlake-Eastern,1,20,2,18,0
2020/04/25 05:00:00+00,Northern,0,3,0,3,0
2020/04/25 05:00:00+00,Prairie Mountain Health,0,14,1,12,1
2020/04/25 05:00:00+00,Southern Health-Santé Sud,1,30,3,27,0
2020/04/25 05:00:00+00,Winnipeg,2,203,20,178,5
2020/04/25 05:00:00+00,All,4,270,26,238,6
2020/04/26 05:00:00+00,Interlake-Eastern,0,20,2,18,0
2020/04/26 05:00:00+00,Northern,0,3,0,3,0
2020/04/26 05:00:00+00,Prairie Mountain Health,0,14,1,12,1
2020/04/26 05:00:00+00,Southern Health-Santé Sud,0,30,3,27,0
2020/04/26 05:00:00+00,Winnipeg,1,204,21,178,5
2020/04/26 05:00:00+00,All,1,271,27,238,6
2020/04/27 05:00:00+00,Interlake-Eastern,0,20,2,18,0
2020/04/27 05:00:00+00,Northern,0,3,0,3,0
2020/04/27 05:00:00+00,Prairie Mountain Health,1,15,2,12,1
2020/04/27 05:00:00+00,Southern Health-Santé Sud,0,30,3,27,0
2020/04/27 05:00:00+00,Winnipeg,1,205,21,179,5
2020/04/27 05:00:00+00,All,2,273,28,239,6
2020/04/28 05:00:00+00,Interlake-Eastern,0,20,2,18,0
2020/04/28 05:00:00+00,Northern,0,3,0,3,0
2020/04/28 05:00:00+00,Prairie Mountain Health,0,15,1,13,1
2020/04/28 05:00:00+00,Southern Health-Santé Sud,0,30,3,27,0
2020/04/28 05:00:00+00,Winnipeg,0,205,16,184,5
2020/04/28 05:00:00+00,All,0,273,22,245,6
2020/04/29 05:00:00+00,Interlake-Eastern,0,20,2,18,0
2020/04/29 05:00:00+00,Northern,0,3,0,3,0
2020/04/29 05:00:00+00,Prairie Mountain Health,0,15,1,13,1
2020/04/29 05:00:00+00,Southern Health-Santé Sud,0,30,3,27,0
2020/04/29 05:00:00+00,Winnipeg,1,206,15,186,5
2020/04/29 05:00:00+00,All,1,274,21,247,6
2020/04/30 05:00:00+00,Interlake-Eastern,0,20,2,18,0
2020/04/30 05:00:00+00,Northern,0,3,0,3,0
2020/04/30 05:00:00+00,Prairie Mountain Health,2,17,3,13,1
2020/04/30 05:00:00+00,Southern Health-Santé Sud,0,30,2,28,0
2020/04/30 05:00:00+00,Winnipeg,2,208,16,187,5
2020/04/30 05:00:00+00,All,4,278,23,249,6
2020/05/01 05:00:00+00,Interlake-Eastern,0,20,1,19,0
2020/05/01 05:00:00+00,Northern,0,3,0,3,0
2020/05/01 05:00:00+00,Prairie Mountain Health,0,17,3,13,1
2020/05/01 05:00:00+00,Southern Health-Santé Sud,0,30,2,28,0
2020/05/01 05:00:00+00,Winnipeg,1,209,16,188,5
2020/05/01 05:00:00+00,All,1,279,22,251,6
2020/05/02 05:00:00+00,Interlake-Eastern,0,20,1,19,0
2020/05/02 05:00:00+00,Northern,0,3,0,3,0
2020/05/02 05:00:00+00,Prairie Mountain Health,1,18,4,13,1
2020/05/02 05:00:00+00,Southern Health-Santé Sud,0,30,2,28,0
2020/05/02 05:00:00+00,Winnipeg,0,209,16,188,5
2020/05/02 05:00:00+00,All,1,280,23,251,6
2020/05/03 05:00:00+00,Interlake-Eastern,0,20,1,19,0
2020/05/03 05:00:00+00,Northern,0,3,0,3,0
2020/05/03 05:00:00+00,Prairie Mountain Health,0,18,4,13,1
2020/05/03 05:00:00+00,Southern Health-Santé Sud,0,30,1,29,0
2020/05/03 05:00:00+00,Winnipeg,0,209,16,188,5
2020/05/03 05:00:00+00,All,0,280,22,252,6
2020/05/04 05:00:00+00,Interlake-Eastern,0,20,1,19,0
2020/05/04 05:00:00+00,Northern,0,3,0,3,0
2020/05/04 05:00:00+00,Prairie Mountain Health,1,19,5,13,1
2020/05/04 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/04 05:00:00+00,Winnipeg,0,209,13,191,5
2020/05/04 05:00:00+00,All,1,281,19,255,7
2020/05/05 05:00:00+00,Interlake-Eastern,0,20,1,19,0
2020/05/05 05:00:00+00,Northern,0,3,0,3,0
2020/05/05 05:00:00+00,Prairie Mountain Health,2,21,7,13,1
2020/05/05 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/05 05:00:00+00,Winnipeg,0,209,12,192,5
2020/05/05 05:00:00+00,All,2,283,20,256,7
2020/05/06 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/06 05:00:00+00,Northern,0,3,0,3,0
2020/05/06 05:00:00+00,Prairie Mountain Health,0,21,7,13,1
2020/05/06 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/06 05:00:00+00,Winnipeg,0,209,9,195,5
2020/05/06 05:00:00+00,All,0,283,16,260,7
2020/05/07 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/07 05:00:00+00,Northern,0,3,0,3,0
2020/05/07 05:00:00+00,Prairie Mountain Health,1,22,7,14,1
2020/05/07 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/07 05:00:00+00,Winnipeg,0,209,9,195,5
2020/05/07 05:00:00+00,All,1,284,16,261,7
2020/05/08 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/08 05:00:00+00,Northern,0,3,0,3,0
2020/05/08 05:00:00+00,Prairie Mountain Health,0,22,7,14,1
2020/05/08 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/08 05:00:00+00,Winnipeg,1,210,8,197,5
2020/05/08 05:00:00+00,All,1,285,15,263,7
2020/05/09 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/09 05:00:00+00,Northern,0,3,0,3,0
2020/05/09 05:00:00+00,Prairie Mountain Health,2,24,9,14,1
2020/05/09 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/09 05:00:00+00,Winnipeg,0,210,7,198,5
2020/05/09 05:00:00+00,All,2,287,16,264,7
2020/05/10 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/10 05:00:00+00,Northern,0,3,0,3,0
2020/05/10 05:00:00+00,Prairie Mountain Health,2,26,11,14,1
2020/05/10 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/10 05:00:00+00,Winnipeg,0,210,7,198,5
2020/05/10 05:00:00+00,All,2,289,18,264,7
2020/05/11 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/11 05:00:00+00,Northern,0,3,0,3,0
2020/05/11 05:00:00+00,Prairie Mountain Health,0,26,10,15,1
2020/05/11 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/11 05:00:00+00,Winnipeg,0,210,6,199,5
2020/05/11 05:00:00+00,All,0,289,16,266,7
2020/05/12 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/12 05:00:00+00,Northern,0,3,0,3,0
2020/05/12 05:00:00+00,Prairie Mountain Health,0,26,10,15,1
2020/05/12 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/12 05:00:00+00,Winnipeg,0,210,5,200,5
2020/05/12 05:00:00+00,All,0,289,15,267,7
2020/05/13 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/13 05:00:00+00,Northern,0,3,0,3,0
2020/05/13 05:00:00+00,Prairie Mountain Health,0,26,9,16,1
2020/05/13 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/13 05:00:00+00,Winnipeg,0,210,4,201,5
2020/05/13 05:00:00+00,All,0,289,13,269,7
2020/05/14 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/14 05:00:00+00,Northern,0,3,0,3,0
2020/05/14 05:00:00+00,Prairie Mountain Health,0,26,9,16,1
2020/05/14 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/14 05:00:00+00,Winnipeg,0,210,3,202,5
2020/05/14 05:00:00+00,All,0,289,12,270,7
2020/05/15 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/15 05:00:00+00,Northern,0,3,0,3,0
2020/05/15 05:00:00+00,Prairie Mountain Health,0,26,8,17,1
2020/05/15 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/15 05:00:00+00,Winnipeg,0,210,1,204,5
2020/05/15 05:00:00+00,All,0,289,9,273,7
2020/05/16 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/16 05:00:00+00,Northern,0,3,0,3,0
2020/05/16 05:00:00+00,Prairie Mountain Health,0,26,8,17,1
2020/05/16 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/16 05:00:00+00,Winnipeg,0,210,1,204,5
2020/05/16 05:00:00+00,All,0,289,9,273,7
2020/05/17 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/17 05:00:00+00,Northern,0,3,0,3,0
2020/05/17 05:00:00+00,Prairie Mountain Health,0,26,6,19,1
2020/05/17 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/17 05:00:00+00,Winnipeg,1,211,2,204,5
2020/05/17 05:00:00+00,All,1,290,8,275,7
2020/05/18 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/18 05:00:00+00,Northern,0,3,0,3,0
2020/05/18 05:00:00+00,Prairie Mountain Health,0,26,6,19,1
2020/05/18 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/18 05:00:00+00,Winnipeg,0,211,2,204,5
2020/05/18 05:00:00+00,All,0,290,8,275,7
2020/05/19 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/19 05:00:00+00,Northern,0,3,0,3,0
2020/05/19 05:00:00+00,Prairie Mountain Health,0,26,6,19,1
2020/05/19 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/19 05:00:00+00,Winnipeg,0,211,1,205,5
2020/05/19 05:00:00+00,All,0,290,7,276,7
2020/05/20 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/20 05:00:00+00,Northern,0,3,0,3,0
2020/05/20 05:00:00+00,Prairie Mountain Health,0,26,1,24,1
2020/05/20 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/20 05:00:00+00,Winnipeg,0,211,1,205,5
2020/05/20 05:00:00+00,All,0,290,2,281,7
2020/05/21 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/21 05:00:00+00,Northern,0,3,0,3,0
2020/05/21 05:00:00+00,Prairie Mountain Health,0,26,1,24,1
2020/05/21 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/21 05:00:00+00,Winnipeg,2,213,3,205,5
2020/05/21 05:00:00+00,All,2,292,4,281,7
2020/05/22 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/22 05:00:00+00,Northern,0,3,0,3,0
2020/05/22 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
